"barcode_rank"	"total_counts"	"fitted"	"is_empty"
153	1632	1633.08892932313	FALSE
154.5	1619	1616.87185371344	FALSE
154.5	1619	1616.87185371344	FALSE
156	1605	1600.70657116096	FALSE
157	1592	1589.58756263313	FALSE
158	1589	1578.00930734956	FALSE
159	1587	1565.9049160949	FALSE
160	1553	1553.4552051134	FALSE
161	1539	1540.91488161108	FALSE
162	1527	1528.62239699015	FALSE
163	1515	1516.90627748974	FALSE
164	1488	1506.02681248275	FALSE
165	1484	1496.15981335914	FALSE
166	1475	1487.24850773242	FALSE
167	1474	1479.14071926918	FALSE
168	1468	1471.50729759685	FALSE
169	1462	1463.95359560592	FALSE
170	1455	1456.08903154374	FALSE
171	1447	1447.51506684344	FALSE
172	1430	1437.83827186342	FALSE
173	1427	1426.64555747576	FALSE
174	1423	1413.5438640031	FALSE
175	1420	1398.17245320233	FALSE
176	1399	1380.28085170001	FALSE
177	1379	1359.92985897811	FALSE
178	1358	1337.3283385536	FALSE
179	1330	1312.94042829919	FALSE
180	1320	1287.34150908084	FALSE
181	1225	1261.36211087989	FALSE
182	1221	1235.79482376072	FALSE
183	1208	1211.20943239155	FALSE
184	1165	1187.97015478305	FALSE
185.5	1141	1156.07930692639	FALSE
185.5	1141	1156.07930692639	FALSE
187.5	1096	1118.89221950877	FALSE
187.5	1096	1118.89221950877	FALSE
189	1095	1094.56818174255	FALSE
190	1086	1079.57034623247	FALSE
191	1084	1065.22652963656	FALSE
192	1071	1051.38310745235	FALSE
193	1062	1037.98442855851	FALSE
194	999	1025.22713370917	FALSE
195	998	1013.32200677671	FALSE
196	987	1002.3424678833	FALSE
197	986	992.286829804581	FALSE
198	984	982.995462899858	FALSE
199	979	974.278836358984	FALSE
200	966	965.966223252713	FALSE
201	952	957.92522416535	FALSE
202	943	950.025929908991	FALSE
203	940	942.097623211116	FALSE
204	934	933.96109001322	FALSE
205	930	925.420829716962	FALSE
206	914	916.292954626337	FALSE
207	901	906.426733337459	FALSE
208	898	895.682115504667	FALSE
209	894	883.903646136896	FALSE
210	842	870.971525228885	FALSE
211.5	826	849.22438271873	FALSE
211.5	826	849.22438271873	FALSE
213	810	823.929045125283	FALSE
214	803	804.6941387112	FALSE
215	792	783.226037030598	FALSE
216	767	759.293101250552	FALSE
217	765	732.812888549941	FALSE
218	720	703.832513229346	FALSE
219	714	672.600505660368	FALSE
220	704	639.516654252741	FALSE
221	609	605.284522549981	FALSE
222	577	570.636387014883	FALSE
223	565	536.322755805878	FALSE
224	521	503.008064782535	FALSE
225	369	471.311354175524	FALSE
226	144	NA	FALSE
